epoch_duration,epoch,batch_size,data_size,accuracy,test_duration
0.8639187579974532,0,64,7500,0.1567,0.863765348913148
0.8607300380244851,1,64,7500,0.3,0.8624242749065161
0.8625829240772873,2,64,7500,0.407,0.8623211319791153
1.730560079915449,0,64,15000,0.1565,0.8624793690396473
1.7232681469758973,1,64,15000,0.2912,0.8639917459804565
1.724040379980579,2,64,15000,0.4241,0.8660531949717551
3.442155911005102,0,64,30000,0.3676,0.8611535539384931
3.4411775909829885,1,64,30000,0.492,0.8703815100016072
3.464443703996949,2,64,30000,0.5304,0.8727262320462614
6.913845380069688,0,64,60000,0.3558,0.8644931889139116
6.896651835995726,1,64,60000,0.5423,0.8633857240201905
6.89902362797875,2,64,60000,0.6145,0.8652899389853701
