epoch_duration,epoch,batch_size,data_size,accuracy,test_duration
3.894230006961152,0,4,7500,0.1032,3.02197166508995
3.8757104569813237,1,4,7500,0.1304,3.021196902031079
3.9103467679815367,2,4,7500,0.1352,3.043607058003545
7.8217668319121,0,4,15000,0.1219,3.0377473609987646
7.795514096971601,1,4,15000,0.1531,3.027072758995928
7.7869532980257645,2,4,15000,0.1582,3.01240998506546
15.624297069967724,0,4,30000,0.1709,3.050010362989269
15.642263774992898,1,4,30000,0.2689,3.0509476229781285
15.664754846016876,2,4,30000,0.341,3.0472029299708083
25.90612597600557,0,4,50000,0.1747,2.9987842090195045
25.910405711038038,1,4,50000,0.3497,3.0176112189656124
25.935430436045863,2,4,50000,0.4133,3.0126179680228233
