epoch_duration,epoch,batch_size,data_size,accuracy,test_duration
11.568936253897846,0,32,60000,0.5408,1.0015591969713569
12.487438041018322,1,32,60000,0.6326,0.8916607249993831
12.977742205141112,2,32,60000,0.6579,0.8914490370079875
9.776156655047089,0,64,60000,0.6733,0.9008940760977566
10.30321045499295,1,64,60000,0.6842,1.0558821479789913
11.459164020838216,2,64,60000,0.6972,0.9308823382016271
8.17944741086103,0,128,60000,0.7032,0.9193378430791199
9.288245460949838,1,128,60000,0.7108,0.9242673290427774
8.903855978045613,2,128,60000,0.7168,0.9966710261069238
7.397617492126301,0,256,60000,0.7194,0.9135445849969983
7.250789716141298,1,256,60000,0.7227,1.054830705979839
7.416602223878726,2,256,60000,0.7265,0.9374366130214185
14.584048820077442,0,32,60000,0.6799,0.9122552579501644
14.980923266964965,1,32,60000,0.7054,0.9023092769784853
7.7205545720644295,0,32,60000,0.6746,0.8741610059514642
7.720547788892873,1,32,60000,0.6985,0.8714099780190736
7.7086429769406095,2,32,60000,0.7225,0.8731151400133967
6.87761359103024,0,64,60000,0.7341,0.8701680420199409
6.920346336090006,1,64,60000,0.7434,0.8813745639054105
6.8855369000229985,2,64,60000,0.7505,0.8720549169229344
6.442887520999648,0,128,60000,0.755,0.8727855070028454
6.439883972983807,1,128,60000,0.7596,0.8692594009917229
6.446097500040196,2,128,60000,0.7621,0.8701962719205767
6.225697049987502,0,256,60000,0.7645,0.8700483029242605
6.2077540300088,1,256,60000,0.7659,0.8701291349716485
6.231639005010948,2,256,60000,0.7688,0.8712964119622484
14.043587398948148,0,32,60000,0.1,2.0897817930672318
14.05103336297907,1,32,60000,0.1002,2.090326962992549
14.052244190010242,2,32,60000,0.1067,2.085778812994249
13.106561422930099,0,64,60000,0.117,2.0918908660532907
13.101049571996555,1,64,60000,0.1247,2.08879903703928
13.093597055994906,2,64,60000,0.1308,2.0825405759969726
12.660715691978112,0,128,60000,0.1349,2.0812449799850583
12.672348623978905,1,128,60000,0.1412,2.085436676046811
12.663383631035686,2,128,60000,0.1447,2.0802098440472037
12.627582271001302,0,256,60000,0.1473,2.0811934820376337
12.640931293950416,1,256,60000,0.1489,2.0803576030302793
7.658820073935203,0,32,60000,0.1423,0.87432942900341
7.650166098028421,1,32,60000,0.1423,0.8734976550331339
7.654613606981002,2,32,60000,0.1423,0.8666506899753585
6.8448169499170035,0,64,60000,0.1,0.8742065880214795
6.837579891085625,1,64,60000,0.1,0.8773139049299061
6.825034921988845,2,64,60000,0.1,0.8740334829781204
6.438721748068929,0,128,60000,0.0456,0.8674199469387531
6.405485483002849,1,128,60000,0.0456,0.868588695069775
6.405422042007558,2,128,60000,0.0456,0.8759986710501835
6.216050343005918,0,256,60000,0.0549,0.8673669169656932
6.179663557908498,1,256,60000,0.0549,0.8657807530835271
6.178619983955286,2,256,60000,0.0549,0.8658531080000103
7.6471489609684795,0,32,60000,0.1685,0.8745089770527557
7.686414301977493,0,32,60000,0.4818,0.8726305819582194
7.723103496013209,1,32,60000,0.634,0.8808320160023868
7.681567472056486,2,32,60000,0.6578,0.8642330589937046
6.854158568894491,0,64,60000,0.4349,0.8625246150186285
6.854333127965219,1,64,60000,0.5358,0.8652892670361325
6.8544697239995,2,64,60000,0.5945,0.8709331878926605
6.465920452028513,0,128,60000,0.3236,0.8682841630652547
6.428546400042251,1,128,60000,0.5273,0.8648917588870972
6.4277067489456385,2,128,60000,0.5817,0.864962212042883
6.177086028037593,0,256,60000,0.3057,0.862123439903371
6.170880871010013,1,256,60000,0.3703,0.8637116580503061
6.204370653955266,2,256,60000,0.4087,0.882133124046959
7.732472977950238,0,32,60000,0.5184,0.865818161983043
7.696814463008195,1,32,60000,0.6259,0.8661316420184448
7.6962527059949934,2,32,60000,0.6583,0.8649859169963747
