epoch_duration,epoch,batch_size,data_size,accuracy,test_duration
0.8753582879435271,0,64,7500,0.1417,0.8799314780626446
0.8716882839798927,1,64,7500,0.1724,0.8784483660710976
0.8708253629738465,2,64,7500,0.2134,0.8796897119609639
1.741135093034245,0,64,15000,0.3777,0.8735832539387047
1.739863180089742,1,64,15000,0.4535,0.8715110889170319
1.7420370780164376,2,64,15000,0.4702,0.8715976220555604
3.475537887075916,0,64,30000,0.5205,0.869016345939599
3.47176358604338,1,64,30000,0.5447,0.8703017740044743
3.465229391003959,2,64,30000,0.5653,0.8687827649991959
6.932861161069013,0,64,60000,0.6035,0.865876353927888
6.886341479956172,1,64,60000,0.6297,0.8654452390037477
6.893277294933796,2,64,60000,0.6451,0.8694659150205553
